Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2009-10,SHB 1072,1072,,,,,2010-03-15,0,0,SHB 1072,"By resolution, reintroduced and retained in present status.",0,H Gen Gov Apps,0,0,2010-01-27,AN ACT Relating to prohibiting certain sex offenders on community custody from accessing the internet;,0,Prohibiting certain sex offenders on community custody from accessing the internet.,House,5157,H-4806.1,0,0,0,0,Sex offender internet use,Bill,B,(Simpson),0,1
1,0,2009-10,E2SHB 1096,1096,,,,,2010-04-01,1,1,E2SHB 1096,Governor vetoed.,0,Gov vetoed,1,1,2010-02-05,AN ACT Relating to enhancing small business participation in state purchasing;,0,Enhancing small business participation in state purchasing.,House,10030,H-4573.2,0,0,0,0,Small business/st purchasing,Bill,B,(Hasegawa),1,2
1,0,2009-10,E2SHB 1149,1149,,,,,2010-03-22,1,1,E2SHB 1149,Effective date 7/1/2010.,0,C 151 L 10,0,1,2010-01-19,AN ACT Relating to protecting consumers from breaches of security;,0,Protecting consumers from breaches of security.,House,1611,H-4176.2,0,0,0,0,Security breach protection,Bill,B,(Williams),0,2
1,0,2009-10,2SHB 1162,1162,,,,,2010-03-15,0,0,2SHB 1162,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,2010-02-04,AN ACT Relating to social emotional learning in public schools;,0,Providing for social emotional learning in public schools.,House,1570,H-4540.1,0,0,0,0,Social emotional learning,Bill,B,(Dickerson),0,2
1,0,2009-10,SHB 1189,1189,,,,,2010-03-15,0,0,SHB 1189,"By resolution, reintroduced and retained in present status.",0,H Rules R,0,0,2010-02-02,AN ACT Relating to retail store carryout bags;,0,Regarding retail store carryout bags.,House,1407,H-5014.1,0,0,0,0,Retail store carryout bags,Bill,B,(Chase),0,1
1,0,2009-10,SHB 1203,1203,,,,,2010-03-15,0,0,SHB 1203,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,2010-01-25,AN ACT Relating to the definition of relative for purposes of the crime of rendering criminal assistance;,0,Modifying the definition of relative for purposes of the crime of rendering criminal assistance.,House,2149,H-4665.1,0,0,0,0,Criminal assistance/relative,Bill,B,(O'Brien),0,1
0,0,2009-10,SHB 1317,1317,,,,,2010-02-13,0,0,SHB 1317,2nd substitute bill substituted.,0,H subst for,0,0,2010-01-29,AN ACT Relating to disclosure of public records containing information used to locate or identify employees of criminal justice agencies;,0,Regarding the disclosure of public records containing information used to locate or identify employees of criminal justice agencies.,House,643,H-4897.2,0,0,0,0,Criminal justice employees,Bill,B,(Kessler),0,1
1,0,2009-10,E2SHB 1317,1317,,,,,2010-03-31,1,1,E2SHB 1317,Effective date 6/10/2010.,0,C 257 L 10,0,1,2010-02-08,AN ACT Relating to disclosure of public records containing information used to locate or identify employees of criminal justice agencies;,0,Regarding the disclosure of public records containing information used to locate or identify employees of criminal justice agencies.,House,643,H-5080.1,0,0,0,0,Criminal justice employees,Bill,B,(Kessler),1,2
1,0,2009-10,2SHB 1357,1357,,,,,2010-03-15,0,1,2SHB 1357,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,2010-01-22,AN ACT Relating to protecting consumers by assuring persons using the title of social worker have graduated with a degree in social work from an educational program accredited by the council on social work education;,0,Protecting consumers by assuring persons using the title of social worker have graduated with a degree in social work from an educational program accredited by the council on social work education.,House,8286,H-4395.1,0,0,0,0,Social worker/title,Bill,B,(Pettigrew),1,2
1,0,2009-10,E2SHB 1418,1418,,,,,2010-03-12,0,0,E2SHB 1418,Effective date 6/10/2010.,0,C 20 L 10,0,1,2010-01-26,AN ACT Relating to establishing a statewide dropout reengagement program;,0,Establishing a statewide dropout reengagement system.,House,3487,H-3998.2,0,0,0,0,Dropout reengagement system,Bill,B,(Kagi),1,2
