Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2019-20,SI 976,976,,,,,2019-01-21,0,0,SI 976,"First reading, referred to Transportation.",0,S Transportation,0,0,2019-01-21,,1,"Limiting state and local taxes, fees, and other charges relating to vehicles.",Senate,5592,I-3604.1,0,0,0,0,Vehicle taxes and fees,Initiative,I,(People of the State of Washington),1,0
1,0,2019-20,HI 976,976,,,,,2019-01-21,0,0,HI 976,"First reading, referred to Transportation.",0,H Trans,0,0,2019-01-21,,1,"Limiting state and local taxes, fees, and other charges relating to vehicles.",House,5592,I-3604.1,0,0,0,0,Vehicle taxes and fees,Initiative,I,(People of the State of Washington),1,0
1,0,2019-20,SI 1000,1000,,,,,2019-04-28,0,0,SI 1000,Effective date 7/28/2019.,0,C 160 L 19,0,0,2019-02-15,,0,"Concerning diversity, equity, and inclusion.",Senate,5592,I-3582.1,0,0,0,0,Affirmative action,Initiative,I,(People of the State of Washington),1,0
1,0,2019-20,HI 1000,1000,,,,,2019-04-28,0,0,HI 1000,Effective date 7/28/2019.,0,C 160 L 19,0,0,2019-01-21,,0,"Concerning diversity, equity, and inclusion.",House,5592,I-3582.1,0,0,0,0,Affirmative action,Initiative,I,(People of the State of Washington),1,0
1,0,2019-20,HB 1000,1000,,,,,2020-01-13,0,0,HB 1000,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,2019-01-14,AN ACT Relating to the authorized number of days for a temporary vehicle trip permit;,1,Increasing the authorized number of days for a temporary vehicle trip permit.,House,14207,H-0019.1,0,0,0,0,Temp. vehicle trip permits,Bill,B,(Klippert),1,0
1,0,2019-20,HB 1001,1001,,2019-20,SB 5030,Ssubst for,2019-04-08,0,0,HB 1001,Effective date 7/28/2019.,0,C 16 L 19,0,0,2019-01-14,AN ACT Relating to service contract providers;,0,Concerning service contract providers.,House,5154,H-0158.1,0,0,0,0,Service contract providers,Bill,B,(Kirby),1,0
0,0,2019-20,HB 1002,1002,,,,,2019-02-07,0,0,HB 1002,1st substitute bill substituted.,0,H subst for,0,0,2019-01-14,AN ACT Relating to modifying the offense of rape in the third degree;,1,Modifying the offense of rape in the third degree.,House,14205,H-0243.1,0,0,0,0,Rape in the third degree,Bill,B,(Orwall),1,0
1,0,2019-20,SHB 1002,1002,,,,,2020-01-21,0,1,SHB 1002,"House Rules ""X"" file.",0,H Rules X,0,0,2019-01-24,AN ACT Relating to modifying the offense of rape in the third degree;,0,Modifying the offense of rape in the third degree.,House,14205,H-1126.1,0,0,0,0,Rape in the third degree,Bill,B,(Orwall),0,1
1,0,2019-20,HB 1003,1003,,,,,2020-01-13,0,0,HB 1003,"By resolution, reintroduced and retained in present status.",0,H Commerce & Gam,0,0,2019-01-14,AN ACT Relating to the siting of marijuana businesses in relation to areas or facilities frequented by children;,0,Siting of marijuana businesses in relation to areas or facilities frequented by children.,House,14207,H-0278.1,0,0,0,0,Marijuana business siting,Bill,B,(Klippert),1,0
1,0,2019-20,HB 1004,1004,,2019-20,SB 5643,SRules,2020-01-13,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,H Commerce & Gam,0,0,2019-01-14,AN ACT Relating to theater licenses;,0,Modifying theater license provisions.,House,15736,H-0080.3,0,0,0,0,Theater licenses,Bill,B,(Ryu),1,0
1,0,2019-20,HB 1005,1005,,2019-20,SB 5131,Ssubst for,2020-01-21,0,0,HB 1005,"House Rules ""X"" file.",0,H Rules X,0,0,2019-01-14,AN ACT Relating to sales of manufactured/mobile or park model homes at county treasurer's foreclosure or distraint sales;,1,Regarding foreclosure and distraint sales of manufactured/mobile or park model homes.,House,10031,H-0165.1,0,0,0,0,Mobile home foreclosure sale,Bill,B,(Appleton),1,0
1,0,2019-20,SHB 1005,1005,,,,,2020-01-21,0,0,SHB 1005,"House Rules ""X"" file.",0,H Rules X,0,0,2019-02-08,AN ACT Relating to sales of manufactured/mobile or park model homes at county treasurer's foreclosure or distraint sales;,0,Regarding foreclosure and distraint sales of manufactured/mobile or park model homes.,House,10031,H-1626.1,0,0,0,0,Mobile home foreclosure sale,Bill,B,(Appleton),0,1
1,0,2019-20,HB 1006,1006,,,,,2020-01-13,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2019-01-14,"AN ACT Relating to adopting new requirements for locating underground facilities, including positive response, minimum marking standards, adopting a new process for coordinating large projects, and requiring new and replacement facilities to be locatable;",1,"Adopting new requirements for locating underground facilities, including positive response, minimum marking standards, adopting a new process for coordinating large projects, and requiring new and replacement facilities to be locatable.",House,10031,H-0154.1,0,0,0,0,Underground facilities,Bill,B,(Appleton),1,0
1,1,2019-20,SHB 1006,1006,,,,,2020-01-13,0,0,SHB 1006,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2019-02-22,"AN ACT Relating to adopting new requirements for locating underground facilities, including positive response, minimum marking standards, adopting a new process for coordinating large projects, and requiring new and replacement facilities to be locatable;",0,"Adopting new requirements for locating underground facilities, including positive response, minimum marking standards, adopting a new process for coordinating large projects, and requiring new and replacement facilities to be locatable.",House,10031,H-1996.1,0,0,0,0,Underground facilities,Bill,B,(Appleton),0,1
1,0,2019-20,HB 1007,1007,,,,,2020-01-13,0,0,HB 1007,"By resolution, reintroduced and retained in present status.",0,H Cap Budget,0,0,2019-01-14,AN ACT Relating to dedicated funding for animal shelter capital projects;,0,Concerning dedicated funding for animal shelter capital projects.,House,10031,H-0160.1,0,0,0,0,Animal shelter capital proj.,Bill,B,(Appleton),0,0
1,1,2019-20,HB 1008,1008,,,,,2020-01-13,0,0,HB 1008,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2019-01-14,AN ACT Relating to studying the constitutional and statutory obligations and tax revenue capacity of local government entities;,1,Studying the constitutional and statutory obligations and tax revenue capacity of local government entities.,House,10031,H-0153.1,0,0,0,0,Local gov. revenue study,Bill,B,(Appleton),1,0
1,1,2019-20,SHB 1008,1008,,,,,2020-01-13,0,0,SHB 1008,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2019-01-23,AN ACT Relating to studying the constitutional and statutory obligations and tax revenue capacity of local government entities;,0,Studying the constitutional and statutory obligations and tax revenue capacity of local government entities.,House,10031,H-1084.1,0,0,0,0,Local gov. revenue study,Bill,B,(Appleton),0,1
0,0,2019-20,HB 1009,1009,,2019-20,SB 5009,SState Govt/Tri,2019-03-01,0,0,HB 1009,1st substitute bill substituted.,0,H subst for,0,0,2019-01-14,AN ACT Relating to the state auditor's duties and procedures;,0,Addressing the state auditor's duties and procedures.,House,26174,Z-0219.1,0,1,0,0,State auditor,Bill,B,(Dolan),1,0
1,0,2019-20,SHB 1009,1009,,,,,2020-03-12,0,1,SHB 1009,"By resolution, returned to House Rules Committee for third reading.",0,H Rules 3C,0,0,2019-01-23,AN ACT Relating to the state auditor's duties and procedures;,0,Addressing the state auditor's duties and procedures.,House,26174,H-1045.1,0,1,0,0,State auditor,Bill,B,(Dolan),1,1
0,0,2019-20,HB 1010,1010,,,,,2020-01-23,0,0,HB 1010,1st substitute bill substituted.,0,H subst for,0,0,2019-01-14,AN ACT Relating to the disposition of forfeited firearms by the Washington state patrol;,0,Concerning the disposition of forfeited firearms by the Washington state patrol.,House,18057,H-0210.1,0,0,0,0,Forfeited firearms/WSP,Bill,B,(Senn),1,0
1,0,2019-20,SHB 1010,1010,,,,,2020-03-12,0,1,SHB 1010,"By resolution, returned to House Rules Committee for third reading.",0,H Rules 3C,0,0,2019-01-18,AN ACT Relating to the disposition of forfeited firearms by the Washington state patrol;,0,Concerning the disposition of forfeited firearms by the Washington state patrol.,House,18057,H-0994.1,0,0,0,0,Forfeited firearms/WSP,Bill,B,(Senn),0,1
1,0,2019-20,HB 1011,1011,,,,,2019-04-08,0,0,HB 1011,Effective date 7/28/2019.,0,C 17 L 19,0,0,2019-01-14,AN ACT Relating to improving the accuracy of the residential real estate disclosure statement associated with the Washington right to farm act by providing a more complete description of the scope of RCW 7.48.305 through references related to working forests;,1,Adding proximity to working forests to the residential real estate disclosure statement.,House,27182,H-0223.1,0,0,0,0,Working forests/real estate,Bill,B,(Reeves),1,0
0,0,2019-20,HB 1012,1012,,,,,2019-02-07,0,0,HB 1012,1st substitute bill substituted.,0,H subst for,0,0,2019-01-14,AN ACT Relating to the use of child passenger restraint systems;,0,Concerning the use of child passenger restraint systems.,House,17227,H-0122.4,0,0,0,0,Child passenger restraint,Bill,B,(Bergquist),1,0
1,0,2019-20,SHB 1012,1012,,,,,2019-04-19,0,1,SHB 1012,Effective date 1/1/2020.,0,C 59 L 19,0,0,2019-01-23,AN ACT Relating to the use of child passenger restraint systems;,0,Concerning the use of child passenger restraint systems.,House,17227,H-1099.1,0,0,0,0,Child passenger restraint,Bill,B,(Bergquist),0,1
1,0,2019-20,HB 1013,1013,,2019-20,SB 5352,Ssubst for,2020-01-21,0,0,HB 1013,"House Rules ""X"" file.",0,H Rules X,0,0,2019-01-14,AN ACT Relating to the Walla Walla watershed management pilot program;,1,Concerning the Walla Walla watershed management pilot program.,House,26172,H-0224.1,0,0,0,0,Walla Walla watershed pilot,Bill,B,(Jenkin),1,0
1,0,2019-20,SHB 1013,1013,,,,,2020-01-21,0,0,SHB 1013,"House Rules ""X"" file.",0,H Rules X,0,0,2019-02-25,AN ACT Relating to the Walla Walla watershed management pilot program;,1,Concerning the Walla Walla watershed management pilot program.,House,26172,H-2076.1,0,0,0,0,Walla Walla watershed pilot,Bill,B,(Jenkin),1,1
1,0,2019-20,HB 1014,1014,,,,,2019-04-19,0,0,HB 1014,Effective date 7/28/2019.,0,C 60 L 19,0,0,2019-01-14,AN ACT Relating to financial responsibility of motorcycle operators;,0,Concerning financial responsibility of motorcycle operators.,House,26172,H-0027.1,0,0,0,0,Motorcycle operators,Bill,B,(Jenkin),0,0
