Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2025-26,HB 1000,1000,,,,,2025-01-13,0,0,HB 1000,"First reading, referred to Community Safety.",0,H Community Safe,0,0,2025-01-13,AN ACT Relating to expanding the circumstances that may constitute a major violation of the uniform controlled substances act;,0,Expanding the circumstances that may constitute a major violation of the uniform controlled substances act.,House,27181,H-0097.1,0,0,0,0,Controlled subst. violations,Bill,B,(Walsh),0,0
1,0,2025-26,HB 1001,1001,,,,,2025-01-13,0,0,HB 1001,"First reading, referred to Capital Budget.",0,H Cap Budget,0,0,2025-01-13,AN ACT Relating to capital projects for the provision of fire protection services;,1,Concerning capital projects for the provision of fire protection services.,House,31526,H-0022.1,0,0,0,0,Fire protection projects,Bill,B,(Abbarno),1,0
1,0,2025-26,HB 1002,1002,,,,,2025-03-19,0,1,HB 1002,Returned to Rules Committee for second reading.,0,H Rules C,0,0,2025-01-13,"AN ACT Relating to recognizing posttraumatic stress disorder as an occupational disease for county coroners, examiners, and investigative personnel;",1,"Recognizing posttraumatic stress disorder as an occupational disease for county coroners, examiners, and investigative personnel.",House,31526,H-0101.1,0,0,0,0,PTSD/coroners & examiners,Bill,B,(Abbarno),1,0
1,0,2025-26,HB 1003,1003,,,,,2025-04-11,0,1,HB 1003,Effective date 7/27/2025.,0,C 44 L 25,0,0,2025-01-13,AN ACT Relating to service of notice by mail in cases involving forcible entry and forcible and unlawful detainer;,0,Addressing service of notice by mail in cases involving forcible entry and forcible and unlawful detainer.,House,31526,H-0107.1,0,0,0,0,Service of notice/tenants,Bill,B,(Abbarno),0,0
1,0,2025-26,HB 1004,1004,,,,,2025-01-27,0,0,HB 1004,Referred to Rules 2 Review.,0,H Rules R,0,0,2025-01-13,AN ACT Relating to increasing the personal property tax exemption;,1,Increasing the personal property tax exemption.,House,29102,H-0050.2,0,0,0,0,Property tax exemption,Bill,B,(Leavitt),1,0
1,0,2025-26,HB 1005,1005,,2025-26,SB 5016,SRules 3,2025-01-23,0,0,HB 1005,Referred to Rules 2 Review.,0,H Rules R,0,0,2025-01-13,AN ACT Relating to prearrangement funeral services;,0,Concerning prearrangement funeral services.,House,15736,H-0018.1,0,0,0,0,Prearrang. funeral services,Bill,B,(Ryu),0,0
1,0,2025-26,HB 1006,1006,,2025-26,SB 5108,SRules 3,2025-04-16,0,0,HB 1006,Effective date 7/27/2025.,0,C 50 L 25,0,0,2025-01-13,AN ACT Relating to regulating service contracts and protection product guarantees;,0,Regulating service contracts and protection product guarantees.,House,15736,H-0059.1,0,0,0,0,Service contracts,Bill,B,(Ryu),1,0
1,0,2025-26,HB 1007,1007,,2025-26,SB 5132,SLaw & Justice,2025-04-11,0,0,HB 1007,Effective date 7/27/2025.,0,C 34 L 25,0,0,2025-01-13,AN ACT Relating to requisites of notice in small claims actions;,0,Concerning requisites of notice in small claims actions.,House,34031,H-0106.2,0,0,0,0,Small claims actions notice,Bill,B,(Low),0,0
1,0,2025-26,HB 1008,1008,,,,,2025-01-13,0,0,HB 1008,"First reading, referred to Local Government.",0,H Local Govt,0,0,2025-01-13,AN ACT Relating to improving county local roads by creating a new county local road program;,0,Concerning county local roads.,House,34031,H-0133.1,0,0,0,0,County local roads,Bill,B,(Low),0,0
1,0,2025-26,HB 1009,1009,,,,,2025-05-12,1,1,HB 1009,Effective date 7/27/2025.,0,C 211 L 25,0,0,2025-01-13,AN ACT Relating to the membership of the pharmacy quality assurance commission;,0,Adjusting the membership of the pharmacy quality assurance commission.,House,34031,H-0080.1,0,0,0,0,Pharmacy commission members,Bill,B,(Low),1,0
