Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,1993-94,HB 1000,1000,,,,,1994-03-11,0,0,HB 1000,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1993-01-11,,0,Removing the sunset provisions from the basic health plan.,House,659,,0,0,0,0,Basic health plan continued,Bill,B,(Thibaudeau),0,0
1,0,1993-94,HB 1001,1001,,,,,1994-03-11,0,0,HB 1001,"By resolution, reintroduced and retained in present status.",0,H Education,0,0,1993-01-11,,0,Authorizing levies for noneducational community service purposes.,House,660,,0,0,0,0,Community service levies,Bill,B,"(Thomas, B.)",1,0
1,0,1993-94,HB 1002,1002,,,,,1994-03-11,0,0,HB 1002,"By resolution, reintroduced and retained in present status.",0,H Fish/Wild,0,0,1993-01-11,,0,Authorizing free hunting and fishing licenses for honorably discharged veterans with service-connected disabilities of thirty percent or more.,House,359,,0,0,0,0,Disabled vets hunting licens,Bill,B,(Riley),1,0
0,0,1993-94,HB 1003,1003,,,,,1993-02-08,0,0,HB 1003,1st substitute bill substituted.,0,H subst for,0,0,1993-01-11,,0,Concerning judicial proceedings for involuntary commitment or detention.,House,359,,0,0,0,0,Involuntry commitmnt/detentn,Bill,B,(Riley),0,0
1,0,1993-94,SHB 1003,1003,,,,,1993-04-30,0,0,SHB 1003,"Chapter 137, 1993 Laws",0,C 137 L 93,0,0,1993-01-26,,1,Concerning judicial proceedings for involuntary commitment or detention.,House,359,,0,0,0,0,Involuntry commitmnt/detentn,Bill,B,(Riley),1,1
1,0,1993-94,HB 1004,1004,,,,,1994-03-11,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,H Trade/Ec/Ho,0,0,1993-01-11,,0,Eliminating the economic development finance authority.,House,359,,0,0,0,0,Ecnmc dvlpmnt athrty elimntd,Bill,B,(Riley),0,0
0,0,1993-94,HB 1005,1005,,1993-94,SB 5269,SHigher Ed,1993-02-22,0,0,HB 1005,1st substitute bill substituted.,0,H subst for,0,0,1993-01-11,,0,Adding student members to the governing boards of institutions of higher education.,House,207,,0,0,0,0,Hghr ed inst bd stdnt membrs,Bill,B,(Jacobsen),1,0
1,0,1993-94,SHB 1005,1005,,,,,1994-03-11,0,0,SHB 1005,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,1993-02-10,,0,Adding student members to the governing boards of institutions of higher education.,House,207,,0,0,0,0,Hghr ed inst bd stdnt membrs,Bill,B,(Jacobsen),1,1
0,0,1993-94,HB 1006,1006,,,,,1993-03-13,0,0,HB 1006,1st substitute bill substituted.,0,H subst for,0,0,1993-01-11,,0,Enabling public-private transportation initiatives.,House,136,,0,0,0,0,Public-private initiatives,Bill,B,"(Fisher, R.)",1,0
1,0,1993-94,SHB 1006,1006,,,,,1993-05-15,1,0,SHB 1006,"Chapter 370, 1993 Laws",0,C 370 L 93,0,0,1993-02-25,,0,Enabling public-private transportation initiatives.,House,136,,0,0,0,0,Public-private initiatives,Bill,B,"(Fisher, R.)",0,1
1,0,1993-94,EHB 1007,1007,,,,,1993-05-17,1,0,EHB 1007,"Chapter 446, 1993 Laws PV",1,C 446 L 93,0,1,1993-01-11,,0,Enhancing state-wide transportation planning.,House,136,,0,0,0,0,Transportation planning,Bill,B,"(Fisher, R.)",1,0
1,0,1993-94,HB 1008,1008,,1993-94,SB 5112,C 47 L 93,1994-03-11,0,0,HB 1008,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1993-01-11,,0,Revising hiring procedures for cities and towns.,House,651,,0,0,0,0,City/town hiring procedures,Bill,B,(Romero),0,0
0,0,1993-94,HB 1009,1009,,,,,1993-03-13,0,0,HB 1009,1st substitute bill substituted.,0,H subst for,0,0,1993-01-11,,0,Prescribing liabilities for lis pendens filings.,House,11,,0,0,0,0,Lis pendens filings,Bill,B,(Appelwick),1,0
0,0,1993-94,SHB 1009,1009,,,,,1994-02-07,0,0,SHB 1009,2nd substitute bill substituted.,0,H subst for,0,0,1993-02-16,,0,Prescribing liabilities for lis pendens filings.,House,11,,0,0,0,0,Lis pendens filings,Bill,B,(Appelwick),0,1
1,0,1993-94,2SHB 1009,1009,,,,,1994-03-30,1,0,2SHB 1009,"Chapter 155, 1994 Laws",0,C 155 L 94,0,0,1994-01-12,,0,Prescribing liabilities for lis pendens filings.,House,11,,0,0,0,0,Lis pendens filings,Bill,B,(Appelwick),0,2
1,0,1993-94,HB 1010,1010,,,,,1994-03-11,0,0,HB 1010,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,1993-01-11,,0,Adopting the uniform unincorporated nonprofit association act.,House,11,,0,0,0,0,Unincorp nonprofit assn act,Bill,B,(Appelwick),0,0
0,0,1993-94,HB 1011,1011,,,,,1993-03-08,0,0,HB 1011,Committee recommendations adopted and the 1st substitute bill substituted.,0,H subst for,0,0,1993-01-11,,0,Enacting the 1991 uniform simultaneous death act.,House,11,,0,0,0,0,Simultaneous death act,Bill,B,(Appelwick),0,0
1,0,1993-94,SHB 1011,1011,,,,,1994-03-11,0,0,SHB 1011,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1993-02-02,,0,Enacting the 1991 uniform simultaneous death act.,House,11,,0,0,0,0,Simultaneous death act,Bill,B,(Appelwick),0,1
0,0,1993-94,HB 1012,1012,,,,,1993-03-09,0,0,HB 1012,Committee recommendations adopted and the 1st substitute bill substituted.,0,H subst for,0,0,1993-01-11,,0,Adopting the uniform anatomical gift act.,House,11,,0,0,0,0,Anatomical gift act,Bill,B,(Appelwick),1,0
1,0,1993-94,SHB 1012,1012,,,,,1993-05-07,1,0,SHB 1012,"Chapter 228, 1993 Laws",0,C 228 L 93,0,0,1993-02-12,,1,Adopting the uniform anatomical gift act.,House,11,,0,0,0,0,Anatomical gift act,Bill,B,(Appelwick),1,1
0,0,1993-94,HB 1013,1013,,,,,1993-03-08,0,0,HB 1013,Committee recommendations adopted and the 1st substitute bill substituted.,0,H subst for,0,0,1993-01-11,,0,Adopting the revised uniform commercial code on bulk sales.,House,11,,0,0,0,0,Bulk sales/uniform comm code,Bill,B,(Appelwick),0,0
1,0,1993-94,SHB 1013,1013,,,,,1993-05-15,1,0,SHB 1013,"Chapter 395, 1993 Laws",0,C 395 L 93,0,0,1993-02-02,,0,Adopting the revised uniform commercial code on bulk sales.,House,11,,0,0,0,0,Bulk sales/uniform comm code,Bill,B,(Appelwick),1,1
0,0,1993-94,HB 1014,1014,,,,,1993-03-10,0,0,HB 1014,Committee recommendations adopted and the 1st substitute bill substituted.,0,H subst for,0,0,1993-01-11,,0,"Updating uniform commercial code Articles 1, 3, and 4.",House,11,,0,0,0,0,Uniform commercial code,Bill,B,(Appelwick),0,0
