Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2003-04,HI 297,297,,,,,2005-01-15,0,0,HI 297,"First reading, referred to Technology, Telecommunications & Energy.",0,H TechEnCom,0,0,2005-01-15,,0,,House,5592,,0,0,0,0,Hazardous waste sites,Initiative,I,(People of the State of Washington),0,0
0,0,2003-04,HB 1000,1000,,2003-04,SB 5078,SRules X,2003-03-11,0,0,HB 1000,1st substitute bill substituted.,0,H subst for,0,0,2003-01-13,AN ACT Relating to metropolitan municipal corporations;,0,Regulating the authority of metropolitan municipal corporations to acquire property.,House,7240,H-0282.1,0,0,0,0,Metropolitan municipal corps,Bill,B,(Sullivan),0,0
1,0,2003-04,ESHB 1000,1000,,,,,2004-03-11,0,1,ESHB 1000,"By resolution, returned to House Rules Committee for third reading.",0,H Rules 3C,0,1,2003-02-27,AN ACT Relating to metropolitan municipal corporations;,0,Regulating the authority of metropolitan municipal corporations to acquire property.,House,7240,H-2111.1,0,0,0,0,Metropolitan municipal corps,Bill,B,(Sullivan),0,1
0,0,2003-04,HB 1001,1001,,,,,2003-02-05,0,0,HB 1001,1st substitute bill substituted.,0,H subst for,0,0,2003-01-13,AN ACT Relating to voyeurism;,1,Revising voyeurism laws.,House,2159,H-0400.1,0,0,0,0,Voyeurism,Bill,B,(Lantz),1,0
1,0,2003-04,ESHB 1001,1001,,,,,2003-05-12,1,1,ESHB 1001,Effective date 5/12/2003.,0,C 213 L 03,0,1,2003-01-20,AN ACT Relating to voyeurism;,0,Revising voyeurism laws.,House,2159,H-0732.3,0,0,0,0,Voyeurism,Bill,B,(Lantz),0,1
0,0,2003-04,HB 1002,1002,,2003-04,SB 5124,SNatRes/Ene/W,2003-02-26,0,0,HB 1002,1st substitute bill substituted.,0,H subst for,0,0,2003-01-13,AN ACT Relating to mercury reduction and education;,0,Reducing the release of mercury into the environment.,House,5155,H-0373.1,0,0,0,0,Mercury,Bill,B,(Hunt),1,0
1,0,2003-04,ESHB 1002,1002,,,,,2003-05-14,1,1,ESHB 1002,Effective date 7/27/2003.,1,C 260 L 03,0,1,2003-02-11,AN ACT Relating to mercury reduction and education;,0,Reducing the release of mercury into the environment.,House,5155,H-1538.1,0,0,0,0,Mercury,Bill,B,(Hunt),1,1
0,0,2003-04,HB 1003,1003,,,,,2003-03-15,0,0,HB 1003,2nd substitute bill substituted.,0,H subst for,0,0,2003-01-13,AN ACT Relating to investing in technology and biotechnical research and technology transfer;,0,Creating the research and technology transfer commission.,House,2144,H-0087.2,0,0,0,0,Research/technology comm,Bill,B,(Morris),0,0
0,0,2003-04,SHB 1003,1003,,,,,2003-03-15,0,0,SHB 1003,2nd substitute bill substituted.,0,H subst for,0,0,2003-02-21,AN ACT Relating to investing in technology and biotechnical research and technology transfer;,0,Creating the research and technology transfer commission.,House,2144,H-1815.1,0,0,0,0,Research/technology comm,Bill,B,(Morris),1,1
1,0,2003-04,2SHB 1003,1003,,,,,2003-05-20,1,1,2SHB 1003,Effective date 7/27/2003.,1,C 403 L 03,0,0,2003-03-06,AN ACT Relating to investing in technology and biotechnical research and technology transfer;,0,Creating the research and technology transfer commission.  (REVISED FOR PASSED LEGISLATURE:  Establishing the investing in innovation grants program.),House,2144,H-2344.1,0,0,0,0,Research/technology comm,Bill,B,WAYS(Morris),0,2
1,0,2003-04,HB 1004,1004,,,,,2004-01-12,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,"H Technology,",0,0,2003-01-13,AN ACT Relating to energy;,1,Changing gas and electricity tax provisions.,House,2144,H-0066.2,0,0,0,0,Gas & electricity taxes,Bill,B,(Morris),1,0
0,0,2003-04,HB 1005,1005,,,,,2003-03-12,0,0,HB 1005,1st substitute bill substituted.,0,H subst for,0,0,2003-01-13,AN ACT Relating to the joint task force on long-term energy supply;,0,Creating the joint task force on long-term energy supply.,House,2144,H-0143.1,0,0,0,0,Long-term energy supply,Bill,B,(Morris),0,0
1,0,2003-04,ESHB 1005,1005,,,,,2004-03-11,0,1,ESHB 1005,"By resolution, returned to House Rules Committee for third reading.",0,H Rules 3C,0,1,2003-02-07,AN ACT Relating to the joint task force on long-term energy supply;,0,Creating the joint task force on long-term energy supply.,House,2144,H-1390.1,0,0,0,0,Long-term energy supply,Bill,B,(Morris),1,1
1,0,2003-04,HB 1006,1006,,2003-04,SB 5632,Gov vetoed,2004-01-12,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,"H Technology,",0,0,2003-01-13,AN ACT Relating to utility relocation costs;,0,Regarding utility relocation costs.,House,2144,H-0168.1,0,0,0,0,Utility relocation costs,Bill,B,(Morris),0,0
1,0,2003-04,HB 1007,1007,,,,,2004-01-12,0,0,HB 1007,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,2003-01-13,AN ACT Relating to a permitting bill of rights;,1,Establishing a permitting bill of rights.,House,2144,H-0167.1,0,0,0,0,Permitting bill of rights,Bill,B,(Morris),1,0
1,0,2003-04,SHB 1007,1007,,,,,2004-01-12,0,0,SHB 1007,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,2003-03-04,AN ACT Relating to a permitting bill of rights;,1,Establishing a permitting bill of rights.,House,2144,H-1982.3,0,0,0,0,Permitting bill of rights,Bill,B,(Morris),1,1
1,0,2003-04,HB 1008,1008,,,,,2004-01-12,0,0,HB 1008,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,2003-01-13,AN ACT Relating to the creation of a license plate emblem to benefit orca whale research;,0,Creating a license plate emblem to benefit orca whale research.,House,2144,H-0171.1,0,0,0,0,Orca whale license plate,Bill,B,(Morris),0,0
0,0,2003-04,HB 1009,1009,,,,,2003-03-18,0,0,HB 1009,1st substitute bill substituted.,0,H subst for,0,0,2003-01-13,AN ACT Relating to video and computer games depicting violence against public law enforcement officers;,0,Prohibiting sale of violent computer and video games to minors.,House,1570,H-0362.1,0,0,0,0,Violent video/computer games,Bill,B,(Dickerson),0,0
1,0,2003-04,ESHB 1009,1009,,,,,2003-05-20,0,1,ESHB 1009,Effective date 7/27/2003.,0,C 365 L 03,0,1,2003-01-30,AN ACT Relating to video and computer games depicting violence against public law enforcement officers;,0,Prohibiting sale of violent computer and video games to minors.,House,1570,H-1194.1,0,0,0,0,Violent video/computer games,Bill,B,(Dickerson),0,1
