Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2005-06,SI 330,330,,,,,2005-01-27,0,0,SI 330,Referred to Judiciary.,0,S Judiciary,0,0,2005-01-19,,0,,Senate,5592,,0,0,0,0,Health Care Liability Reform,Initiative,I,(People of the State of Washington),0,0
1,0,2005-06,HI 330,330,,,,,2005-01-19,0,0,HI 330,"First reading, referred to Judiciary.",0,H Judiciary,0,0,2005-01-19,,0,,House,5592,,0,0,0,0,Health Care Liability Reform,Initiative,I,(People of the State of Washington),0,0
1,0,2005-06,SI 336,336,,,,,2005-01-27,0,0,SI 336,Referred to Judiciary.,0,S Judiciary,0,0,2005-01-19,,0,,Senate,5592,,0,0,0,0,Health Care Quality,Initiative,I,(People of the State of Washington),0,0
1,0,2005-06,HI 336,336,,,,,2005-01-19,0,0,HI 336,"First reading, referred to Judiciary.",0,H Judiciary,0,0,2005-01-19,,0,,House,5592,,0,0,0,0,Health Care Quality,Initiative,I,(People of the State of Washington),0,0
1,0,2005-06,HB 1000,1000,,,,,2005-05-04,0,0,HB 1000,Effective date 7/24/2005.,0,C 273 L 05,0,0,2005-01-10,AN ACT Relating to allowing special meetings to be called through electronic mail notice;,0,Allowing fax and electronic mail notice of special meetings.,House,8209,H-0121.1,0,0,0,0,Special meetings,Bill,B,(Clibborn),0,0
0,0,2005-06,SHB 1000,1000,,,,,2005-02-25,0,0,SHB 1000,1st substitute bill not substituted.,0,H not subst,0,0,2005-01-28,AN ACT Relating to allowing special meetings to be called through electronic mail notice;,0,Allowing fax and electronic mail notice of special meetings.,House,8209,H-1201.1,0,0,0,0,Special meetings,Bill,B,(Clibborn),0,1
1,0,2005-06,HB 1001,1001,,,,,2006-01-09,0,0,HB 1001,"By resolution, reintroduced and retained in present status.",0,H State Govt,0,0,2005-01-10,AN ACT Relating to the election of judges and the state superintendent of public instruction;,0,Requiring election of judges and the superintendent of public instruction at the general election.,House,8240,H-0071.1,0,0,0,0,Election of judges & SPI,Bill,B,(Hinkle),0,0
1,0,2005-06,HB 1002,1002,,,,,2005-05-09,1,1,HB 1002,Effective date 7/24/2005.,0,C 320 L 05,0,0,2005-01-10,AN ACT Relating to motor vehicle compression brakes;,0,Restricting the use of compression brakes.,House,5158,H-0002.4,0,0,0,0,Compression brakes,Bill,B,(Fromhold),1,0
1,0,2005-06,EHB 1003,1003,,,,,2005-04-28,1,1,EHB 1003,Effective date 7/1/2005.,1,C 213 L 05,0,1,2005-01-10,AN ACT Relating to the operation of off-road vehicles on roadways;,0,Allowing off-road vehicles on nonhighway roads.,House,8240,H-0056.2,0,0,0,0,Off-road vehicles,Bill,B,(Hinkle),0,0
1,0,2005-06,HB 1004,1004,,,,,2006-01-09,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,H EconDevAgTr,0,0,2005-01-10,AN ACT Relating to water conservancy boards;,0,Modifying provisions concerning water conservancy boards.,House,8240,H-0084.2,0,0,0,0,Water conservancy boards,Bill,B,(Hinkle),0,0
1,1,2005-06,HB 1005,1005,,2005-06,SB 5753,SHumServ/Corr,2006-01-09,0,0,HB 1005,"By resolution, reintroduced and retained in present status.",0,H Health Care,0,0,2005-01-10,AN ACT Relating to creating a consumer or advocate-run mental health service delivery system;,0,Creating a consumer or advocate-run mental health service delivery system.,House,2149,H-0168.1,0,0,0,0,Mental health service system,Bill,B,(O'Brien),0,0
1,0,2005-06,HB 1006,1006,,,,,2006-01-09,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,2005-01-10,AN ACT Relating to Clark College license plates;,0,Authorizing Clark College license plates.,House,5158,H-0011.1,0,0,0,0,Clark College license plate,Bill,B,(Fromhold),0,0
1,0,2005-06,HB 1007,1007,,2005-06,SB 5252,SRules X,2005-04-12,0,0,HB 1007,Effective date 7/24/2005.,0,C 16 L 05,0,0,2005-01-10,AN ACT Relating to establishing a commemorative works account for the department of general administration;,0,Establishing a commemorative works account for the department of general administration.,House,5155,Z-0137.1,0,1,0,0,Commemorative works account,Bill,B,(Hunt),1,0
1,0,2005-06,HB 1008,1008,,2005-06,SB 5220,SRules X,2005-04-28,0,1,HB 1008,Effective date 7/24/2005.,0,C 214 L 05,0,0,2005-01-10,AN ACT Relating to the motor pool within the department of general administration;,0,Managing the motor pool within the department of general administration.,House,407,Z-0075.1,0,1,0,0,Motor pool,Bill,B,(Sommers),1,0
0,0,2005-06,HB 1009,1009,,,,,2005-02-28,0,0,HB 1009,1st substitute bill substituted.,0,H subst for,0,0,2005-01-10,AN ACT Relating to paying utility bills electronically;,1,Allowing electronic payment of utility bills.,House,2144,H-0040.1,0,0,0,0,Utility bill payment method,Bill,B,(Morris),0,0
