Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2009-10,HB 1000,1000,,2009-10,SB 5234,STransportation,2009-04-23,0,0,HB 1000,Effective date 7/26/2009.,0,C 184 L 09,0,0,2009-01-12,AN ACT Relating to state route number 397;,0,Extending state route number 397 to Interstate 82.,House,9996,Z-0021.2,0,0,0,1,Extending state route 397,Bill,B,(Haler),1,0
0,0,2009-10,HB 1001,1001,,2009-10,SB 5481,Ssubst for,2009-02-13,0,0,HB 1001,1st substitute bill substituted.,0,H subst for,0,0,2009-01-12,AN ACT Relating to veterans' burials;,0,Concerning veterans' burials.,House,14186,H-0249.1,0,0,0,1,Veterans' burials,Bill,B,(Parker),1,0
1,0,2009-10,SHB 1001,1001,,,,,2010-03-15,0,0,SHB 1001,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2009-01-29,AN ACT Relating to veterans' burials;,0,Concerning veterans' burials.,House,14186,H-1106.1,0,0,0,1,Veterans' burials,Bill,B,(Parker),0,1
0,0,2009-10,HB 1002,1002,,2009-10,SB 5167,SRules X,2009-02-13,0,0,HB 1002,1st substitute bill substituted.,0,H subst for,0,0,2009-01-12,"AN ACT Relating to allowing a certificate of discharge to be issued when an existing order excludes or prohibits an offender from having contact with a specified person or business, or coming within a set distance of any specified location;",0,"Allowing a certificate of discharge to be issued when an existing order excludes or prohibits an offender from having contact with a specified person or business, or coming within a set distance of any specified location.",House,10031,H-0295.1,0,0,0,0,Certificate of discharge,Bill,B,(Appleton),0,0
1,0,2009-10,ESHB 1002,1002,,,,,2009-04-30,1,1,ESHB 1002,Effective date 7/26/2009.,1,C 288 L 09,0,1,2009-01-29,"AN ACT Relating to allowing a certificate of discharge to be issued when an existing order excludes or prohibits an offender from having contact with a specified person or business, or coming within a set distance of any specified location;",0,"Allowing a certificate of discharge to be issued when an existing order excludes or prohibits an offender from having contact with a specified person or business, or coming within a set distance of any specified location.",House,10031,H-1439.1,0,0,0,0,Certificate of discharge,Bill,B,(Appleton),1,1
1,0,2009-10,HB 1003,1003,,,,,2010-03-15,0,0,HB 1003,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2009-01-12,AN ACT Relating to responsible parties for issuing notice and summons in proceedings involving the dissolution of ports and other districts and in dependency matters;,1,Providing notice and summons in proceedings involving the dissolution of ports and other districts and in dependency matters.,House,12084,H-0051.2,0,0,0,0,Dissolution of ports,Bill,B,(Warnick),1,0
0,0,2009-10,HB 1004,1004,,,,,2009-02-20,0,0,HB 1004,1st substitute bill substituted.,0,H subst for,0,0,2009-01-12,AN ACT Relating to adding products to the energy efficiency code;,0,Adding products to the energy efficiency code.,House,2144,H-0262.1,0,0,0,0,Energy efficiency code,Bill,B,(Morris),1,0
1,0,2009-10,ESHB 1004,1004,,,,,2009-05-15,1,1,ESHB 1004,Effective date 7/26/2009.,0,C 501 L 09,0,1,2009-02-04,AN ACT Relating to adding products to the energy efficiency code;,0,Adding products to the energy efficiency code. (REVISED FOR ENGROSSED: Adding products to and removing products from the energy efficiency code. ),House,2144,H-1231.1,0,0,0,0,Energy efficiency code,Bill,B,(Morris),0,1
1,0,2009-10,HB 1005,1005,,,,,2010-03-15,0,0,HB 1005,"By resolution, reintroduced and retained in present status.",0,H Tech/En/Com,0,0,2009-01-12,AN ACT Relating to internet privacy policies;,0,Requiring a commercial web site that collects personally identifiable information to post a privacy policy.,House,2144,H-0278.1,0,0,0,0,Commercial web site privacy,Bill,B,(Morris),0,0
1,0,2009-10,HB 1006,1006,,,,,2010-03-15,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,H Tech/En/Com,0,0,2009-01-12,AN ACT Relating to labeling identification devices;,0,Requiring labeling of identification devices.,House,2144,H-0182.2,0,0,0,0,ID device labeling,Bill,B,(Morris),0,0
