Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2011-12,SI 502,502,,,,,2012-01-30,0,0,SI 502,"First reading, referred to Government Operations, Tribal Relations & Elections.",0,S GovtOp & Elect,0,0,2012-01-30,,0,Marijuana decriminalization,Senate,5592,I-2465.1,0,0,0,0,Marijuana decriminalization,Initiative,I,(People of the State of Washington),0,0
1,0,2011-12,HB 1000,1000,,,,,2011-05-16,1,1,HB 1000,Effective date 7/22/2011.,1,C 348 L 11,0,0,2011-01-10,AN ACT Relating to overseas and service voters;,0,Concerning overseas and service voters.,House,3486,H-0208.1,0,0,0,0,Overseas and service voters,Bill,B,(Hurst),0,0
0,0,2011-12,HB 1001,1001,,,,,2011-02-22,0,0,HB 1001,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to pro se defendants in criminal cases questioning victims of sex offenses;,0,Placing restrictions on pro se defendants when questioning witnesses.,House,11999,H-0197.3,0,0,0,0,Pro se defendant/sex offense,Bill,B,(Goodman),1,0
1,0,2011-12,SHB 1001,1001,,,,,2012-04-11,0,0,SHB 1001,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-20,AN ACT Relating to pro se defendants in criminal cases questioning victims of sex offenses;,0,Placing restrictions on pro se defendants when questioning witnesses.,House,11999,H-0634.4,0,0,0,0,Pro se defendant/sex offense,Bill,B,(Goodman),0,1
1,0,2011-12,HB 1002,1002,,,,,2012-04-11,0,0,HB 1002,"By resolution, reintroduced and retained in present status.",0,H SGTribalAff,0,0,2011-01-10,AN ACT Relating to voting by mail;,1,Adopting voting by mail.,House,5155,H-0191.2,0,0,0,0,Voting by mail,Bill,B,(Hunt),1,0
0,0,2011-12,HB 1003,1003,,,,,2011-02-26,0,0,HB 1003,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to efficiency standards for consumer products;,0,Establishing energy efficiency standards for consumer products.,House,2144,H-0274.1,0,0,0,0,Energy efficiency standards,Bill,B,(Morris),1,0
1,0,2011-12,SHB 1003,1003,,,,,2012-04-11,0,0,SHB 1003,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,2011-02-02,AN ACT Relating to efficiency standards for consumer products;,0,Establishing energy efficiency standards for consumer products.,House,2144,H-1322.3,0,0,0,0,Energy efficiency standards,Bill,B,(Morris),0,1
1,0,2011-12,HB 1004,1004,,,,,2012-04-11,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,H Ways & Means,0,0,2011-01-10,AN ACT Relating to social emotional learning in public schools;,0,Providing for social emotional learning in public schools.,House,1570,H-0114.1,0,0,0,0,Social emotional learning,Bill,B,(Dickerson),1,0
1,0,2011-12,HB 1005,1005,,,,,2012-04-11,0,0,HB 1005,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,2011-01-10,AN ACT Relating to creating a Washington state ferries commission;,0,Creating a Washington state ferries commission.,House,10031,H-0377.1,0,0,0,0,State ferries commission,Bill,B,(Appleton),1,0
1,0,2011-12,HB 1006,1006,,,,,2012-04-11,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2011-01-10,AN ACT Relating to knives;,0,Concerning knives.,House,10031,H-0332.1,0,0,0,0,Knives,Bill,B,(Appleton),0,0
1,0,2011-12,HB 1007,1007,,,,,2012-04-11,0,0,HB 1007,"By resolution, reintroduced and retained in present status.",0,H Pub Safety,0,0,2011-01-10,AN ACT Relating to prospectively and retroactively increasing earned release time for certain offenders;,1,Increasing earned release time for certain offenders prospectively and retroactively.,House,10031,H-0364.1,0,0,0,0,Earned release time increase,Bill,B,(Appleton),1,0
0,0,2011-12,HB 1008,1008,,,,,2011-03-01,0,0,HB 1008,1st substitute bill substituted.,0,H subst for,0,0,2011-01-10,AN ACT Relating to membership on the Washington citizens' commission on salaries for elected officials;,0,"Changing the definition of ""immediate family"" for purpose of membership on the Washington citizens' commission on salaries for elected officials.",House,10031,H-0279.1,0,0,0,0,Elected officials' salaries,Bill,B,(Appleton),0,0
