group,groupDesc,longDesc,passedId,num,ver,status.cat,status.comm,status.first,status.chamber,actionLine,active,sponsor,intro,action,fn,req,approp,current,prefiled,rcws
"1000","Controlled subst. violations","Expanding the circumstances that may constitute a major violation of the uniform controlled substances act.","","1000","HB 1000","COMMITTEE","CS","true","H","First reading, referred to Community Safety.","1","Walsh","2025-01-13","2025-01-13","","","0","0","0",""
"1001","Fire protection projects","Concerning capital projects for the provision of fire protection services.","","1001","HB 1001","COMMITTEE","CAP","true","H","First reading, referred to Capital Budget.","1","Abbarno","2025-01-13","2025-01-13","SFN,Loc","","0","0","0",""
"1002","PTSD/coroners & examiners","Recognizing posttraumatic stress disorder as an occupational disease for county coroners, examiners, and investigative personnel.","","1002","HB 1002","RULES","","","H","Returned to Rules Committee for second reading.","1","Abbarno","2025-01-13","2025-03-19","SFN,Loc","","0","0","0",""
"1003","Service of notice/tenants","Addressing service of notice by mail in cases involving forcible entry and forcible and unlawful detainer.","HB 1003","1003","HB 1003","ENACTED","","","","Effective date 7/27/2025.","1","Abbarno","2025-01-13","2025-04-11","","","0","0","0",""
"1004","Property tax exemption","Increasing the personal property tax exemption.","","1004","HB 1004","RULES","","","H","Referred to Rules 2 Review.","1","Leavitt","2025-01-13","2025-01-27","SFN,Loc","","0","0","0","84.36.110|84.36.120|84.48.065"
"1005 / 5016","Prearrang. funeral services","Concerning prearrangement funeral services.","","1005","HB 1005","RULES","","","H","Referred to Rules 2 Review.","1","Ryu","2025-01-13","2025-01-23","","","0","0","0","18.39.010|18.39.250"
"1005 / 5016","Prearrang. funeral services","Concerning prearrangement funeral services.","","1005","SB 5016","RULES","","","S","By resolution, returned to Senate Rules Committee for third reading.","1","Lovick","2025-01-13","2025-04-27","SFN","","0","0","0","18.39.010|18.39.250"
"1006 / 5108","Service contracts","Regulating service contracts and protection product guarantees.","HB 1006","1006","HB 1006","ENACTED","","","","Effective date 7/27/2025.","1","Ryu","2025-01-13","2025-04-16","SFN","","0","0","0","48.110.020|48.110.050|48.110.055|48.110.060|48.110.073|48.110.075|48.110.110|48.110.140"
"1006 / 5108","Service contracts","Regulating service contracts and protection product guarantees.","HB 1006","1006","SB 5108","RULES","","","S","By resolution, returned to Senate Rules Committee for third reading.","1","Kauffman","2025-01-13","2025-04-27","SFN","","0","0","0","48.110.020|48.110.050|48.110.055|48.110.060|48.110.073|48.110.075|48.110.110|48.110.140"
"1007 / 5132","Small claims actions notice","Concerning requisites of notice in small claims actions.","HB 1007","1007","HB 1007","ENACTED","","","","Effective date 7/27/2025.","1","Low","2025-01-13","2025-04-11","","","0","0","0",""
"1007 / 5132","Small claims actions notice","Concerning requisites of notice in small claims actions.","HB 1007","1007","SB 5132","COMMITTEE","L&J","true","S","First reading, referred to Law & Justice.","1","Wagoner","2025-01-13","2025-01-13","","","0","0","0",""
"1008","County local roads","Concerning county local roads.","","1008","HB 1008","COMMITTEE","LG","true","H","First reading, referred to Local Government.","1","Low","2025-01-13","2025-01-13","","","0","0","0",""
"1009","Pharmacy commission members","Adjusting the membership of the pharmacy quality assurance commission.","HB 1009","1009","HB 1009","ENACTED","","","","Effective date 7/27/2025.","1","Low","2025-01-13","2025-05-12","SFN","","0","0","0",""
"1010","Rural area ADUs","Authorizing accessory dwelling units in rural areas.","","1010","HB 1010","COMMITTEE","HSG","true","H","First reading, referred to Housing.","1","Low","2025-01-13","2025-01-13","","","0","0","0","36.70a|36.70a.130|36.70a.177|36.70a.210|36.70a.696"
"1011","School safety capital grants","Creating a school safety capital grant program.","","1011","HB 1011","COMMITTEE","CAP","true","H","First reading, referred to Capital Budget.","1","Jacobsen","2025-01-13","2025-01-13","SFN","","0","0","0",""
"1012","Women's commission/gifts","Authorizing the women's commission to solicit gifts, grants, and endowments from public or private sources.","HB 1012","1012","HB 1012","ENACTED","","","","Effective date 7/27/2025.","1","Taylor","2025-01-13","2025-04-29","","O","0","0","0",""
"1013","DSHS civil service","Concerning exemption of certain personnel of the department of social and health services from civil service.","HB 1013","1013","HB 1013","ENACTED","","","","Effective date 7/27/2025.","1","Schmidt","2025-01-13","2025-04-21","","D","0","0","0",""
"1014","Child support schedule","Implementing recommendations of the 2023 child support schedule work group.","EHB 1014","1014","HB 1014","FLOOR","","","H","","0","Schmidt","2025-01-13","","SFN,Loc","","0","0","0","26.09|26.09.004|26.09.170|26.19.020|26.19.065|26.19.071|26.19.080|26.23.050|74.20a.055|74.20a.056|74.20a.059"
